"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Calves - prices per 100 kg live weight",":"
"Bulgaria","2000","Euro","Calves - prices per 100 kg live weight","74.89"
"Czechia","2000","Euro","Calves - prices per 100 kg live weight","137.92"
"Denmark","2000","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2000","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2000","Euro","Calves - prices per 100 kg live weight","197.58"
"Spain","2000","Euro","Calves - prices per 100 kg live weight","169.29"
"France","2000","Euro","Calves - prices per 100 kg live weight","329.64"
"Croatia","2000","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2000","Euro","Calves - prices per 100 kg live weight","295.21"
"Cyprus","2000","Euro","Calves - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Calves - prices per 100 kg live weight","90.40"
"Lithuania","2000","Euro","Calves - prices per 100 kg live weight","73.04"
"Luxembourg","2000","Euro","Calves - prices per 100 kg live weight","306.80"
"Hungary","2000","Euro","Calves - prices per 100 kg live weight","114.60"
"Malta","2000","Euro","Calves - prices per 100 kg live weight","311.80"
"Netherlands","2000","Euro","Calves - prices per 100 kg live weight","273.65"
"Austria","2000","Euro","Calves - prices per 100 kg live weight","271.83"
"Poland","2000","Euro","Calves - prices per 100 kg live weight","149.76"
"Portugal","2000","Euro","Calves - prices per 100 kg live weight","236.56"
"Romania","2000","Euro","Calves - prices per 100 kg live weight","70.49"
"Slovenia","2000","Euro","Calves - prices per 100 kg live weight","236.02"
"Slovakia","2000","Euro","Calves - prices per 100 kg live weight","110.32"
"Finland","2000","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Calves - prices per 100 kg live weight",":"
"Bulgaria","2001","Euro","Calves - prices per 100 kg live weight","91.16"
"Czechia","2001","Euro","Calves - prices per 100 kg live weight","132.65"
"Denmark","2001","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2001","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2001","Euro","Calves - prices per 100 kg live weight","198.66"
"Spain","2001","Euro","Calves - prices per 100 kg live weight","154.81"
"France","2001","Euro","Calves - prices per 100 kg live weight","323.32"
"Croatia","2001","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2001","Euro","Calves - prices per 100 kg live weight","275.74"
"Cyprus","2001","Euro","Calves - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Calves - prices per 100 kg live weight","88.31"
"Lithuania","2001","Euro","Calves - prices per 100 kg live weight","97.67"
"Luxembourg","2001","Euro","Calves - prices per 100 kg live weight","322.70"
"Hungary","2001","Euro","Calves - prices per 100 kg live weight","117.32"
"Malta","2001","Euro","Calves - prices per 100 kg live weight","312.66"
"Netherlands","2001","Euro","Calves - prices per 100 kg live weight","235.50"
"Austria","2001","Euro","Calves - prices per 100 kg live weight","242.44"
"Poland","2001","Euro","Calves - prices per 100 kg live weight","154.12"
"Portugal","2001","Euro","Calves - prices per 100 kg live weight","245.26"
"Romania","2001","Euro","Calves - prices per 100 kg live weight","130.53"
"Slovenia","2001","Euro","Calves - prices per 100 kg live weight","222.55"
"Slovakia","2001","Euro","Calves - prices per 100 kg live weight","109.86"
"Finland","2001","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Calves - prices per 100 kg live weight",":"
"Bulgaria","2002","Euro","Calves - prices per 100 kg live weight","83.59"
"Czechia","2002","Euro","Calves - prices per 100 kg live weight","130.98"
"Denmark","2002","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2002","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2002","Euro","Calves - prices per 100 kg live weight","196.85"
"Spain","2002","Euro","Calves - prices per 100 kg live weight","178.63"
"France","2002","Euro","Calves - prices per 100 kg live weight","317.41"
"Croatia","2002","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2002","Euro","Calves - prices per 100 kg live weight","273.72"
"Cyprus","2002","Euro","Calves - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Calves - prices per 100 kg live weight","77.26"
"Lithuania","2002","Euro","Calves - prices per 100 kg live weight","110.48"
"Luxembourg","2002","Euro","Calves - prices per 100 kg live weight","316.20"
"Hungary","2002","Euro","Calves - prices per 100 kg live weight","146.45"
"Malta","2002","Euro","Calves - prices per 100 kg live weight","308.14"
"Netherlands","2002","Euro","Calves - prices per 100 kg live weight","237.15"
"Austria","2002","Euro","Calves - prices per 100 kg live weight","243.03"
"Poland","2002","Euro","Calves - prices per 100 kg live weight","144.02"
"Portugal","2002","Euro","Calves - prices per 100 kg live weight","247.09"
"Romania","2002","Euro","Calves - prices per 100 kg live weight","130.93"
"Slovenia","2002","Euro","Calves - prices per 100 kg live weight","218.29"
"Slovakia","2002","Euro","Calves - prices per 100 kg live weight","114.44"
"Finland","2002","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Calves - prices per 100 kg live weight",":"
"Bulgaria","2003","Euro","Calves - prices per 100 kg live weight","78.15"
"Czechia","2003","Euro","Calves - prices per 100 kg live weight","125.26"
"Denmark","2003","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2003","Euro","Calves - prices per 100 kg live weight","200.93"
"Spain","2003","Euro","Calves - prices per 100 kg live weight","175.36"
"France","2003","Euro","Calves - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2003","Euro","Calves - prices per 100 kg live weight","299.79"
"Cyprus","2003","Euro","Calves - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Calves - prices per 100 kg live weight","57.75"
"Lithuania","2003","Euro","Calves - prices per 100 kg live weight","75.01"
"Luxembourg","2003","Euro","Calves - prices per 100 kg live weight","319.80"
"Hungary","2003","Euro","Calves - prices per 100 kg live weight","154.70"
"Malta","2003","Euro","Calves - prices per 100 kg live weight","295.71"
"Netherlands","2003","Euro","Calves - prices per 100 kg live weight","265.25"
"Austria","2003","Euro","Calves - prices per 100 kg live weight","265.83"
"Poland","2003","Euro","Calves - prices per 100 kg live weight","121.73"
"Portugal","2003","Euro","Calves - prices per 100 kg live weight","247.80"
"Romania","2003","Euro","Calves - prices per 100 kg live weight","91.24"
"Slovenia","2003","Euro","Calves - prices per 100 kg live weight","205.08"
"Slovakia","2003","Euro","Calves - prices per 100 kg live weight","118.44"
"Finland","2003","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Calves - prices per 100 kg live weight","123.24"
"Bulgaria","2004","Euro","Calves - prices per 100 kg live weight","76.39"
"Czechia","2004","Euro","Calves - prices per 100 kg live weight","155.08"
"Denmark","2004","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2004","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2004","Euro","Calves - prices per 100 kg live weight","200.40"
"Spain","2004","Euro","Calves - prices per 100 kg live weight","167.63"
"France","2004","Euro","Calves - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2004","Euro","Calves - prices per 100 kg live weight","303.51"
"Cyprus","2004","Euro","Calves - prices per 100 kg live weight",":"
"Latvia","2004","Euro","Calves - prices per 100 kg live weight","62.12"
"Lithuania","2004","Euro","Calves - prices per 100 kg live weight","93.99"
"Luxembourg","2004","Euro","Calves - prices per 100 kg live weight","335.10"
"Hungary","2004","Euro","Calves - prices per 100 kg live weight","184.52"
"Malta","2004","Euro","Calves - prices per 100 kg live weight","294.39"
"Netherlands","2004","Euro","Calves - prices per 100 kg live weight","277.60"
"Austria","2004","Euro","Calves - prices per 100 kg live weight","267.03"
"Poland","2004","Euro","Calves - prices per 100 kg live weight","171.34"
"Portugal","2004","Euro","Calves - prices per 100 kg live weight","223.56"
"Romania","2004","Euro","Calves - prices per 100 kg live weight","67.60"
"Slovenia","2004","Euro","Calves - prices per 100 kg live weight","196.47"
"Slovakia","2004","Euro","Calves - prices per 100 kg live weight","146.79"
"Finland","2004","Euro","Calves - prices per 100 kg live weight",":"
"Sweden","2004","Euro","Calves - prices per 100 kg live weight",":"
"United Kingdom","2004","Euro","Calves - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2004","Euro","Calves - prices per 100 kg live weight",":"
"Belgium","2005","Euro","Calves - prices per 100 kg live weight","139.65"
"Bulgaria","2005","Euro","Calves - prices per 100 kg live weight","86.76"
"Czechia","2005","Euro","Calves - prices per 100 kg live weight","218.21"
"Denmark","2005","Euro","Calves - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2005","Euro","Calves - prices per 100 kg live weight",":"
"Estonia","2005","Euro","Calves - prices per 100 kg live weight",":"
"Ireland","2005","Euro","Calves - prices per 100 kg live weight",":"
"Greece","2005","Euro","Calves - prices per 100 kg live weight","209.38"
"Spain","2005","Euro","Calves - prices per 100 kg live weight","175.98"
"France","2005","Euro","Calves - prices per 100 kg live weight",":"
"Croatia","2005","Euro","Calves - prices per 100 kg live weight",":"
"Italy","2005","Euro","Calves - prices per 100 kg live weight","282.78"
"Cyprus","2005","Euro","Calves - prices per 100 kg live weight","293.88"
"Latvia","2005","Euro","Calves - prices per 100 kg live weight","76.37"
"Lithuania","2005","Euro","Calves - prices per 100 kg live weight","124.08"
"Luxembourg","2005","Euro","Calves - prices per 100 kg live weight","347.50"
"Hungary","2005","Euro","Calves - prices per 100 kg live weight","233.51"
"Malta","2005","Euro","Calves - prices per 100 kg live weight","293.09"
"Netherlands","2005","Euro","Calves - prices per 100 kg live weight","249.80"
"Austria","2005","Euro","Calves - prices per 100 kg live weight","273.24"
"Poland","2005","Euro","Calves - prices per 100 kg live weight","242.92"
